#!format=2
# Station Name;Slot;Module Name;Model Id;I Addr;Q Addr;Custom Parameters  (Slot = plug order; first free position is used)
n0050-uc13-el001-k30001;4;-K30005;6ES7136-6BA01-0CA0;1822;1822;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0051-uc134-xn10;1;-XN10;55556_DefaultCard;1927;1927;Failsafe_FDestinationAddress=051
n0053-uc12-el001-k30001;1;-K30002;6ES7131-6BH01-0BA0;1936;1936;
n0053-uc12-el001-k30001;2;-K30003;6ES7131-6BH01-0BA0;1938;1938;
n0053-uc12-el001-k30001;3;-K30004;6ES7136-6BA01-0CA0;1949;1949;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0053-uc12-el001-k30001;4;-K30005;6ES7136-6BA01-0CA0;1959;1959;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0055-uc124-xn10;1;-XN10;55556_DefaultCard;2064;2064;Failsafe_FDestinationAddress=055
n0054-uf31-el003-k30001;1;-K30002;6ES7131-6BH01-0BA0;2073;2073;
n0054-uf31-el003-k30001;2;-K30003;6ES7136-6BA01-0CA0;2084;2084;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0054-uf31-el003-k30001;3;-K30004;6ES7136-6DB00-0CA0;2114;2114;PotentialGroup=1
n0054-uf31-el003-k30001;4;-K30005;6ES7136-6DB00-0CA0;2119;2119;
n0057-uc11-el001-k30001;1;-K30002;6ES7131-6BH01-0BA0;2149;2149;
n0057-uc11-el001-k30001;2;-K30003;6ES7131-6BH01-0BA0;2151;2151;
n0057-uc11-el001-k30001;3;-K30004;6ES7136-6BA01-0CA0;2162;2162;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0057-uc11-el001-k30001;4;-K30005;6ES7136-6BA01-0CA0;2172;2172;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0060-uc114-xn10;1;-XN10;55556_DefaultCard;2277;2277;Failsafe_FDestinationAddress=060
n0058-lv003-el001-k30001;1;-K30002;6ES7131-6BH01-0BA0;2308;2308;
n0058-lv003-el001-k30001;2;-K30003;6ES7136-6BA01-0CA0;2319;2319;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0058-lv003-el001-k30001;3;-K30004;6ES7136-6DB00-0CA0;2349;2349;PotentialGroup=1
n0059-lv003-el001-k30001;1;-K30002;6ES7131-6BH01-0BA0;2379;2379;
n0059-lv003-el001-k30001;2;-K30003;6ES7136-6BA01-0CA0;2390;2390;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0059-lv003-el001-k30001;3;-K30004;6ES7136-6DB00-0CA0;2420;2420;PotentialGroup=1
n0028-uc17-el001-k30001;1;-K30002;6ES7131-6BH01-0BA0;2450;2450;
n0028-uc17-el001-k30001;2;-K30003;6ES7136-6BA01-0CA0;2461;2461;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0029-uc173-xn10;1;-XN10;55556_DefaultCard;2556;2556;Failsafe_FDestinationAddress=029
n0033-zp001-el001-k40001;1;-K40002;6ES7131-6BH01-0BA0;2565;2565;
n0033-zp001-el001-k40001;2;-K40003;6ES7136-6BA01-0CA0;2576;2576;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0033-zp001-el001-k40001;3;-K40004;6ES7136-6BA01-0CA0;2586;2586;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0033-zp001-el001-k40001;4;-K40005;6ES7136-6BA01-0CA0;2596;2596;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0033-zp001-el001-k40001;5;-K40010;6ES7136-6BA01-0CA0;2606;2606;Failsafe_DiscrepancyTime.Ch(0-7)=100
n0033-zp001-el001-k40001;6;-K40006;6ES7136-6DB00-0CA0;2626;2626;PotentialGroup=1
n0033-zp001-el001-k40001;7;-K40007;6ES7136-6DB00-0CA0;2631;2631;
