# Station Name;Device Type;IP Address;Submodule 1 Name;Submodule 1 Type;Submodule 2 Name;Submodule 2 Type;...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0060-uc114-xn10;55556;192.168.50.60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0029-uc173-xn10;55556;192.168.50.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0035-ug6-xn10;55556;192.168.50.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0031-db931-xn10;55556;192.168.50.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0026-uc915-xn10;55556;192.168.51.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0027-uc915-xn11;55556;192.168.51.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0034-uc264-xn10;55556;192.168.51.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0042-uc274-xn10;55556;192.168.51.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0047-uc254-xn10;55556;192.168.51.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0052-uc244-xn10;55556;192.168.51.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0057-uc234-xn10;55556;192.168.51.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0062-uc224-xn10;55556;192.168.51.62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0067-uc214-xn10;55556;192.168.51.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0080-uf511-xn10;55556;192.168.51.80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0094-ug7-xn10;55556;192.168.51.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0005-zp001-el001-k40001;6ES7155-6AU01-0BN0;192.168.50.5;-K40002;6ES7131-6BH01-0BA0;-K40003;6ES7131-6BH01-0BA0;-K40004;6ES7131-6BH01-0BA0;-K40005;6ES7131-6BH01-0BA0;-K40006;6ES7131-6BH01-0BA0;-K40007;6ES7131-6BH01-0BA0;-K40008;6ES7131-6BH01-0BA0;-K40009;6ES7131-6BH01-0BA0;-K40010;6ES7131-6BH01-0BA0;-K40011;6ES7131-6BH01-0BA0;-K40012;6ES7131-6BH01-0BA0;-K40013;6ES7131-6BH01-0BA0;-K40014;6ES7131-6BH01-0BA0;-K40015;6ES7131-6BH01-0BA0;-K40016;6ES7131-6BH01-0BA0;-K40017;6ES7131-6BH01-0BA0;-K40018;6ES7131-6BH01-0BA0;-K40019;6ES7136-6BA00-0CA0;-K40020;6ES7132-6BH01-0BA0
n0015-uc16-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.15;-K30001;6ES7155-6AU01-0BN0;-K30002;6ES7131-6BH01-0BA0;-K30003;6ES7131-6BH01-0BA0;-K30004;6ES7136-6BA00-0CA0;-K30005;6ES7136-6BA00-0CA0;-K30006;6ES7136-6BA00-0CA0;-K30007;6ES7136-6BA00-0CA0;-K30008;6ES7136-6DB00-0CA0;-K30009;6ES7136-6DB00-0CA0;-K30010;6ES7136-6DB00-0CA0;-K30011;6ES7136-6DB00-0CA0;-K30012;6ES7136-6DB00-0CA0;-K30013;6ES7136-6DB00-0CA0;;;;;;;;;;;;
n0017-lv004-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.17;-K30001;6ES7155-6AU01-0BN0;-K30002;6ES7131-6BH01-0BA0;-K30003;6ES7136-6BA00-0CA0;-K30004;6ES7136-6BA00-0CA0;-K30005;6ES7136-6DB00-0CA0;-K30006;6ES7136-6DB00-0CA0;;;;;;;;;;;;;;;;;;;;;;;;;;
n0018-lv004-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.18;-K30001;6ES7155-6AU01-0BN0;-K30002;6ES7131-6BH01-0BA0;-K30003;6ES7136-6BA00-0CA0;-K30004;6ES7136-6BA00-0CA0;-K30005;6ES7136-6DB00-0CA0;-K30006;6ES7136-6DB00-0CA0;;;;;;;;;;;;;;;;;;;;;;;;;;
n0020-uc15-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.20;-K30001;6ES7155-6AU01-0BN0;-K30002;6ES7131-6BH01-0BA0;-K30003;6ES7131-6BH01-0BA0;-K30004;6ES7136-6BA00-0CA0;-K30005;6ES7136-6BA00-0CA0;-K30006;6ES7136-6BA00-0CA0;-K30007;6ES7136-6BA00-0CA0;-K30008;6ES7136-6DB00-0CA0;-K30009;6ES7136-6DB00-0CA0;-K30010;6ES7136-6DB00-0CA0;-K30011;6ES7136-6DB00-0CA0;-K30012;6ES7136-6DB00-0CA0;-K30013;6ES7136-6DB00-0CA0;;;;;;;;;;;;
n0021-icg11-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.21;-K30001;6ES7155-6AU01-0BN0;-K30002;6ES7131-6BH01-0BA0;-K30003;6ES7136-6BA00-0CA0;-K30004;6ES7136-6BA00-0CA0;-K30005;6ES7136-6BA00-0CA0;-K30006;6ES7136-6BA00-0CA0;-K30007;6ES7136-6DB00-0CA0;-K30008;6ES7136-6DB00-0CA0;-K30009;6ES7136-6DB00-0CA0;;;;;;;;;;;;;;;;;;;;
n0022-icg21-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.22;-K30001;6ES7155-6AU01-0BN0;-K30002;6ES7131-6BH01-0BA0;-K30003;6ES7136-6BA00-0CA0;-K30004;6ES7136-6BA00-0CA0;-K30005;6ES7136-6BA00-0CA0;-K30006;6ES7136-6BA00-0CA0;-K30007;6ES7136-6DB00-0CA0;-K30008;6ES7136-6DB00-0CA0;-K30009;6ES7136-6DB00-0CA0;;;;;;;;;;;;;;;;;;;;
n0025-uc14-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.25;-K30001;6ES7155-6AU01-0BN0;-K30002;6ES7131-6BH01-0BA0;-K30003;6ES7131-6BH01-0BA0;-K30004;6ES7136-6BA00-0CA0;-K30005;6ES7136-6BA00-0CA0;-K30006;6ES7136-6BA00-0CA0;-K30007;6ES7136-6BA00-0CA0;-K30008;6ES7136-6DB00-0CA0;-K30009;6ES7136-6DB00-0CA0;-K30010;6ES7136-6DB00-0CA0;-K30011;6ES7136-6DB00-0CA0;-K30012;6ES7136-6DB00-0CA0;-K30013;6ES7136-6DB00-0CA0;;;;;;;;;;;;
n0038-uc1-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.38;-K30001;6ES7155-6AU01-0BN0;-K30002;6ES7131-6BH01-0BA0;-K30003;6ES7136-6BA00-0CA0;-K30004;6ES7136-6BA00-0CA0;-K30005;6ES7136-6DB00-0CA0;-K30006;6ES7132-6BH01-0BA0;;;;;;;;;;;;;;;;;;;;;;;;;;
n0039-lv001-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.39;-K30001;6ES7155-6AU01-0BN0;-K30002;6ES7131-6BH01-0BA0;-K30003;6ES7136-6BA00-0CA0;-K30004;6ES7136-6DB00-0CA0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0040-lv001-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.40;-K30001;6ES7155-6AU01-0BN0;-K30002;6ES7131-6BH01-0BA0;-K30003;6ES7136-6BA00-0CA0;-K30004;6ES7136-6DB00-0CA0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
