# Station Name;Device Model Identifier;IP Address;Subnet Name;Device Custom Parameters;Submodule 1 Name;Submodule 1 Model;Submodule 1 Addresses (I&Q);Submodule 1 Custom Parameters;Submodule 2 Name;Submodule 2 Model;Submodule 2 Addresses (I&Q);Submodule 2 Custom Parameters;Submodule 3 Name;Submodule 3 Model;Submodule 3 Addresses (I&Q);Submodule 3 Custom Parameters;Submodule 4 Name;Submodule 4 Model;Submodule 4 Addresses (I&Q);Submodule 4 Custom Parameters;…;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# n0006-zp001-el001-k25501;6ES7158-3AD10-0XA0;192.168.50.6;Subnet50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# n0007-zp001-el001-k25502;6ES7158-3AD10-0XA0;192.168.50.7;Subnet50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# n0008-zp001-el001-k25601;6ES7158-3AD10-0XA0;192.168.50.8;Subnet50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# n0009-zp001-el001-k25602;6ES7158-3AD10-0XA0;192.168.50.9;Subnet50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0053-uc12-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.53;Subnet50;;-K30002;6ES7131-6BH01-0BA0;1936&1936;;-K30003;6ES7131-6BH01-0BA0;1938&1938;;-K30004;6ES7136-6BA01-0CA0;1949&1949;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30005;6ES7136-6BA01-0CA0;1959&1959;Failsafe_DiscrepancyTime.Ch(0-7)=100,Failsafe_SensorEvaluation.Ch(3)=0;-K30006;6ES7136-6BA01-0CA0;1969&1969;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30007;6ES7136-6BA01-0CA0;1979&1979;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30008;6ES7136-6DB00-0CA0;2009&2009;PotentialGroup=1;-K30009;6ES7136-6DB00-0CA0;2014&2014;;-K30010;6ES7136-6DB00-0CA0;2019&2019;;-K30011;6ES7136-6DB00-0CA0;2024&2024;;-K30012;6ES7136-6DB00-0CA0;2029&2029;;-K30013;6ES7136-6DB00-0CA0;2034&2034;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0055-uc124-xn10;55556;192.168.50.55;Subnet50;;-XN10;55556_DefaultCard;2064&2064;Failsafe_FDestinationAddress=055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0054-uf31-el003-k30001;6ES7155-6AU01-0BN0;192.168.50.54;Subnet50;;-K30002;6ES7131-6BH01-0BA0;2073&2073;;-K30003;6ES7136-6BA01-0CA0;2084&2084;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30004;6ES7136-6DB00-0CA0;2114&2114;PotentialGroup=1;-K30005;6ES7136-6DB00-0CA0;2119&2119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0057-uc11-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.57;Subnet50;;-K30002;6ES7131-6BH01-0BA0;2149&2149;;-K30003;6ES7131-6BH01-0BA0;2151&2151;;-K30004;6ES7136-6BA01-0CA0;2162&2162;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30005;6ES7136-6BA01-0CA0;2172&2172;Failsafe_DiscrepancyTime.Ch(0-7)=100,Failsafe_SensorEvaluation.Ch(3)=0;-K30006;6ES7136-6BA01-0CA0;2182&2182;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30007;6ES7136-6BA01-0CA0;2192&2192;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30008;6ES7136-6DB00-0CA0;2222&2222;PotentialGroup=1;-K30009;6ES7136-6DB00-0CA0;2227&2227;;-K30010;6ES7136-6DB00-0CA0;2232&2232;;-K30011;6ES7136-6DB00-0CA0;2237&2237;;-K30012;6ES7136-6DB00-0CA0;2242&2242;;-K30013;6ES7136-6DB00-0CA0;2247&2247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0060-uc114-xn10;55556;192.168.50.60;Subnet50;;-XN10;55556_DefaultCard;2277&2277;Failsafe_FDestinationAddress=060;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0058-lv003-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.58;Subnet50;;-K30002;6ES7131-6BH01-0BA0;2308&2308;;-K30003;6ES7136-6BA01-0CA0;2319&2319;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30004;6ES7136-6DB00-0CA0;2349&2349;PotentialGroup=1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0059-lv003-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.59;Subnet50;;-K30002;6ES7131-6BH01-0BA0;2379&2379;;-K30003;6ES7136-6BA01-0CA0;2390&2390;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30004;6ES7136-6DB00-0CA0;2420&2420;PotentialGroup=1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0028-uc17-el001-k30001;6ES7155-6AU01-0BN0;192.168.50.28;Subnet50;;-K30002;6ES7131-6BH01-0BA0;2450&2450;;-K30003;6ES7136-6BA01-0CA0;2461&2461;Failsafe_DiscrepancyTime.Ch(0-7)=100,Failsafe_SensorEvaluation.Ch(1)=0;-K30004;6ES7136-6BA01-0CA0;2471&2471;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30005;6ES7136-6BA01-0CA0;2481&2481;Failsafe_DiscrepancyTime.Ch(0-7)=100;-K30006;6ES7136-6DB00-0CA0;2511&2511;PotentialGroup=1;-K30007;6ES7136-6DB00-0CA0;2516&2516;;-K30008;6ES7136-6DB00-0CA0;2521&2521;;-K30009;6ES7136-6DB00-0CA0;2526&2526;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0029-uc173-xn10;55556;192.168.50.29;Subnet50;;-XN10;55556_DefaultCard;2556&2556;Failsafe_FDestinationAddress=029;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n0010-zp001-el001-k24501;6ES7158-3AD10-0XA0;192.168.50.10;Subnet50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
